        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     193.4   0.00047   0.00093   0.00090   0.00121   0.00377   0.00460   0.14483   0.22486   0.43631   0.85934   0.97773   0.97773   1.07215   1.08553   1.09336   1.10048
     193.5   0.00048   0.00094   0.00091   0.00122   0.00380   0.00464   0.14565   0.22603   0.43827   0.86234   0.98086   0.98086   1.07525   1.08859   1.09640   1.10347
     193.6   0.00048   0.00095   0.00091   0.00123   0.00383   0.00468   0.14647   0.22721   0.44024   0.86535   0.98400   0.98400   1.07835   1.09167   1.09944   1.10647
     193.7   0.00049   0.00096   0.00092   0.00125   0.00387   0.00472   0.14730   0.22840   0.44221   0.86837   0.98714   0.98714   1.08147   1.09475   1.10249   1.10948
     193.8   0.00049   0.00096   0.00093   0.00126   0.00390   0.00476   0.14813   0.22959   0.44419   0.87139   0.99029   0.99029   1.08458   1.09783   1.10554   1.11249
     193.9   0.00050   0.00097   0.00094   0.00127   0.00393   0.00480   0.14896   0.23078   0.44618   0.87442   0.99345   0.99345   1.08771   1.10092   1.10860   1.11551
     194.0   0.00050   0.00098   0.00095   0.00128   0.00397   0.00484   0.14980   0.23198   0.44818   0.87746   0.99662   0.99662   1.09084   1.10401   1.11167   1.11853
     194.1   0.00051   0.00099   0.00096   0.00129   0.00400   0.00488   0.15065   0.23319   0.45018   0.88051   0.99979   0.99979   1.09397   1.10711   1.11473   1.12156
     194.2   0.00051   0.00100   0.00097   0.00131   0.00404   0.00493   0.15149   0.23440   0.45219   0.88356   1.00297   1.00297   1.09711   1.11022   1.11781   1.12459
     194.3   0.00052   0.00101   0.00098   0.00132   0.00407   0.00497   0.15234   0.23561   0.45420   0.88662   1.00616   1.00616   1.10026   1.11333   1.12089   1.12763
     194.4   0.00052   0.00102   0.00099   0.00133   0.00411   0.00501   0.15320   0.23683   0.45623   0.88969   1.00935   1.00935   1.10341   1.11645   1.12397   1.13067
     194.5   0.00053   0.00103   0.00100   0.00134   0.00414   0.00505   0.15406   0.23806   0.45826   0.89276   1.01255   1.01255   1.10657   1.11957   1.12707   1.13372
     194.6   0.00053   0.00104   0.00101   0.00136   0.00418   0.00509   0.15492   0.23929   0.46029   0.89585   1.01576   1.01576   1.10974   1.12270   1.13016   1.13677
     194.7   0.00054   0.00105   0.00102   0.00137   0.00421   0.00514   0.15579   0.24052   0.46234   0.89894   1.01897   1.01897   1.11291   1.12583   1.13326   1.13983
     194.8   0.00054   0.00106   0.00103   0.00138   0.00425   0.00518   0.15666   0.24176   0.46439   0.90204   1.02219   1.02219   1.11608   1.12897   1.13637   1.14289
     194.9   0.00055   0.00107   0.00104   0.00139   0.00428   0.00522   0.15753   0.24301   0.46644   0.90514   1.02542   1.02542   1.11926   1.13211   1.13948   1.14596
     195.0   0.00056   0.00108   0.00105   0.00141   0.00432   0.00527   0.15841   0.24426   0.46851   0.90826   1.02865   1.02865   1.12245   1.13526   1.14260   1.14903
     195.1   0.00056   0.00109   0.00106   0.00142   0.00436   0.00531   0.15929   0.24552   0.47058   0.91138   1.03190   1.03190   1.12564   1.13842   1.14572   1.15211
     195.2   0.00057   0.00110   0.00107   0.00143   0.00439   0.00536   0.16018   0.24678   0.47266   0.91451   1.03514   1.03514   1.12884   1.14158   1.14885   1.15519
     195.3   0.00057   0.00111   0.00108   0.00145   0.00443   0.00540   0.16107   0.24804   0.47474   0.91764   1.03840   1.03840   1.13205   1.14475   1.15199   1.15828
     195.4   0.00058   0.00112   0.00109   0.00146   0.00447   0.00545   0.16196   0.24931   0.47683   0.92078   1.04166   1.04166   1.13526   1.14792   1.15512   1.16138
     195.5   0.00058   0.00113   0.00110   0.00147   0.00451   0.00549   0.16286   0.25059   0.47893   0.92394   1.04493   1.04493   1.13848   1.15110   1.15827   1.16447
     195.6   0.00059   0.00114   0.00111   0.00149   0.00455   0.00554   0.16376   0.25187   0.48104   0.92709   1.04821   1.04821   1.14170   1.15428   1.16142   1.16758
     195.7   0.00060   0.00116   0.00112   0.00150   0.00458   0.00558   0.16467   0.25316   0.48315   0.93026   1.05149   1.05149   1.14493   1.15747   1.16457   1.17069
     195.8   0.00060   0.00117   0.00113   0.00152   0.00462   0.00563   0.16558   0.25445   0.48527   0.93343   1.05478   1.05478   1.14816   1.16067   1.16773   1.17380
