        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     193.0   0.00047   0.00093   0.00086   0.00115   0.00388   0.00467   0.13982   0.21917   0.42359   0.84635   0.96432   1.05982   1.07325   1.08090   1.08813
     193.1   0.00047   0.00093   0.00087   0.00116   0.00392   0.00471   0.14062   0.22032   0.42551   0.84932   0.96742   1.06290   1.07629   1.08392   1.09111
     193.2   0.00048   0.00094   0.00088   0.00117   0.00395   0.00475   0.14142   0.22148   0.42744   0.85230   0.97053   1.06598   1.07934   1.08694   1.09410
     193.3   0.00048   0.00095   0.00089   0.00118   0.00398   0.00479   0.14222   0.22264   0.42937   0.85529   0.97365   1.06907   1.08240   1.08997   1.09709
     193.4   0.00049   0.00096   0.00090   0.00119   0.00402   0.00483   0.14303   0.22380   0.43131   0.85828   0.97678   1.07216   1.08546   1.09300   1.10008
     193.5   0.00049   0.00097   0.00091   0.00120   0.00405   0.00487   0.14384   0.22497   0.43325   0.86128   0.97991   1.07527   1.08853   1.09604   1.10308
     193.6   0.00050   0.00098   0.00092   0.00121   0.00409   0.00491   0.14466   0.22615   0.43520   0.86429   0.98305   1.07837   1.09160   1.09909   1.10608
     193.7   0.00050   0.00099   0.00092   0.00123   0.00412   0.00495   0.14547   0.22733   0.43716   0.86730   0.98619   1.08148   1.09468   1.10214   1.10909
     193.8   0.00051   0.00100   0.00093   0.00124   0.00416   0.00499   0.14630   0.22852   0.43912   0.87032   0.98934   1.08460   1.09776   1.10519   1.11211
     193.9   0.00051   0.00101   0.00094   0.00125   0.00419   0.00503   0.14712   0.22971   0.44110   0.87335   0.99250   1.08772   1.10085   1.10825   1.11513
     194.0   0.00052   0.00102   0.00095   0.00126   0.00423   0.00508   0.14795   0.23090   0.44307   0.87639   0.99567   1.09085   1.10395   1.11132   1.11815
     194.1   0.00052   0.00103   0.00096   0.00127   0.00427   0.00512   0.14879   0.23210   0.44506   0.87944   0.99884   1.09399   1.10705   1.11439   1.12118
     194.2   0.00053   0.00104   0.00097   0.00129   0.00430   0.00516   0.14963   0.23331   0.44705   0.88249   1.00202   1.09713   1.11015   1.11746   1.12422
     194.3   0.00053   0.00105   0.00098   0.00130   0.00434   0.00521   0.15047   0.23452   0.44905   0.88555   1.00520   1.10028   1.11327   1.12055   1.12726
     194.4   0.00054   0.00106   0.00099   0.00131   0.00438   0.00525   0.15131   0.23574   0.45106   0.88861   1.00839   1.10343   1.11638   1.12363   1.13030
     194.5   0.00054   0.00107   0.00100   0.00132   0.00441   0.00529   0.15216   0.23696   0.45307   0.89169   1.01159   1.10659   1.11951   1.12673   1.13336
     194.6   0.00055   0.00108   0.00101   0.00133   0.00445   0.00534   0.15302   0.23818   0.45509   0.89477   1.01480   1.10975   1.12263   1.12982   1.13641
     194.7   0.00056   0.00109   0.00102   0.00135   0.00449   0.00538   0.15387   0.23941   0.45712   0.89786   1.01801   1.11292   1.12577   1.13293   1.13947
     194.8   0.00056   0.00110   0.00103   0.00136   0.00453   0.00543   0.15473   0.24065   0.45915   0.90096   1.02123   1.11610   1.12891   1.13603   1.14254
     194.9   0.00057   0.00111   0.00104   0.00137   0.00457   0.00547   0.15560   0.24189   0.46119   0.90406   1.02446   1.11928   1.13205   1.13915   1.14561
     195.0   0.00057   0.00112   0.00105   0.00139   0.00460   0.00552   0.15647   0.24314   0.46324   0.90717   1.02770   1.12247   1.13520   1.14227   1.14869
     195.1   0.00058   0.00113   0.00106   0.00140   0.00464   0.00556   0.15734   0.24439   0.46529   0.91029   1.03094   1.12566   1.13836   1.14539   1.15177
     195.2   0.00058   0.00114   0.00107   0.00141   0.00468   0.00561   0.15822   0.24564   0.46735   0.91342   1.03418   1.12886   1.14152   1.14852   1.15485
     195.3   0.00059   0.00115   0.00108   0.00142   0.00472   0.00566   0.15910   0.24691   0.46942   0.91656   1.03744   1.13206   1.14469   1.15166   1.15795
     195.4   0.00060   0.00116   0.00109   0.00144   0.00476   0.00570   0.15998   0.24817   0.47150   0.91970   1.04070   1.13528   1.14786   1.15480   1.16104
     195.5   0.00060   0.00117   0.00110   0.00145   0.00480   0.00575   0.16087   0.24945   0.47358   0.92285   1.04397   1.13849   1.15104   1.15795   1.16414
     195.6   0.00061   0.00119   0.00111   0.00146   0.00484   0.00580   0.16177   0.25072   0.47567   0.92601   1.04724   1.14172   1.15422   1.16110   1.16725
     195.7   0.00061   0.00120   0.00112   0.00148   0.00488   0.00585   0.16266   0.25200   0.47777   0.92917   1.05053   1.14494   1.15741   1.16425   1.17036
     195.8   0.00062   0.00121   0.00113   0.00149   0.00492   0.00590   0.16356   0.25329   0.47987   0.93234   1.05382   1.14818   1.16061   1.16742   1.17348
     195.9   0.00063   0.00122   0.00114   0.00151   0.00497   0.00595   0.16447   0.25459   0.48198   0.93552   1.05711   1.15142   1.16381   1.17058   1.17660
     196.0   0.00063   0.00123   0.00115   0.00152   0.00501   0.00599   0.16538   0.25588   0.48410   0.93871   1.06042   1.15466   1.16702   1.17376   1.17973
     196.1   0.00064   0.00124   0.00116   0.00153   0.00505   0.00604   0.16629   0.25719   0.48622   0.94191   1.06373   1.15792   1.17023   1.17694   1.18286
     196.2   0.00064   0.00125   0.00117   0.00155   0.00509   0.00609   0.16721   0.25850   0.48836   0.94511   1.06704   1.16117   1.17345   1.18012   1.18600
     196.3   0.00065   0.00127   0.00118   0.00156   0.00513   0.00614   0.16813   0.25981   0.49049   0.94832   1.07037   1.16444   1.17667   1.18331   1.18915
     196.4   0.00066   0.00128   0.00119   0.00158   0.00518   0.00619   0.16906   0.26113   0.49264   0.95154   1.07370   1.16771   1.17990   1.18650   1.19229
     196.5   0.00066   0.00129   0.00121   0.00159   0.00522   0.00625   0.16999   0.26245   0.49480   0.95476   1.07704   1.17098   1.18313   1.18970   1.19545
     196.6   0.00067   0.00130   0.00122   0.00161   0.00526   0.00630   0.17092   0.26379   0.49696   0.95800   1.08038   1.17426   1.18637   1.19291   1.19861
